Product Name,Price,Discount,Link
iPhone XS,RM 999,RM 800,https://shop.compasia.com/collections/apple/collections/apple/products/iphone-xs
iPhone XR,"RM 1,029",RM 770,https://shop.compasia.com/collections/apple/collections/apple/products/iphone-xr
iPhone 11 Pro,"RM 1,699",RM 500,https://shop.compasia.com/collections/apple/collections/apple/products/iphone-11-pro
iPhone 12,"RM 1,899","RM 1,300",https://shop.compasia.com/collections/apple/collections/apple/products/iphone-12
iPhone 11 Pro Max,"RM 1,899","RM 1,500",https://shop.compasia.com/collections/apple/collections/apple/products/iphone-11-pro-max
Fast Charging Set,RM 49,RM 16,https://shop.compasia.com/collections/apple/collections/apple/products/30w-fast-charging-set
iPhone 12 Pro,"RM 2,449","RM 1,150",https://shop.compasia.com/collections/apple/collections/apple/products/iphone-12-pro
iPhone 12 Pro Max,"RM 2,849","RM 1,650",https://shop.compasia.com/collections/apple/collections/apple/products/iphone-12-pro-max
iPhone 13,"RM 2,749","RM 1,150",https://shop.compasia.com/collections/apple/collections/apple/products/iphone-13
iPhone 12 Mini,"RM 1,749","RM 1,150",https://shop.compasia.com/collections/apple/collections/apple/products/iphone-12-mini
iPhone 13 Pro,"RM 3,449","RM 1,450",https://shop.compasia.com/collections/apple/collections/apple/products/iphone-13-pro
iPhone 11 128GB Fair,RM 999,RM 720,https://shop.compasia.com/collections/apple/collections/apple/products/iphone-11-128gb-fair
iPhone XS,"RM 1,029",RM 800,https://shop.compasia.com/collections/apple/collections/apple/products/iphone-xs
iPhone XR,"RM 1,699",RM 770,https://shop.compasia.com/collections/apple/collections/apple/products/iphone-xr
iPhone 11 Pro,"RM 1,899",RM 500,https://shop.compasia.com/collections/apple/collections/apple/products/iphone-11-pro
iPhone 12,"RM 1,199","RM 1,300",https://shop.compasia.com/collections/apple/collections/apple/products/iphone-12
iPhone XS Max,"RM 1,899",RM 900,https://shop.compasia.com/collections/apple/collections/apple/products/iphone-xs-max
iPhone 11 Pro Max,RM 929,"RM 1,500",https://shop.compasia.com/collections/apple/collections/apple/products/iphone-11-pro-max
iPhone X,"RM 2,449",RM 570,https://shop.compasia.com/collections/apple/collections/apple/products/iphone-x
iPhone 12 Pro,"RM 2,849","RM 1,150",https://shop.compasia.com/collections/apple/collections/apple/products/iphone-12-pro
iPhone 12 Pro Max,RM 799,"RM 1,650",https://shop.compasia.com/collections/apple/collections/apple/products/iphone-12-pro-max
iPhone 8 Plus,"RM 2,749",RM 500,https://shop.compasia.com/collections/apple/collections/apple/products/iphone-8-plus
iPhone 13,"RM 1,749","RM 1,150",https://shop.compasia.com/collections/apple/collections/apple/products/iphone-13
iPhone 12 Mini,RM 929,"RM 1,150",https://shop.compasia.com/collections/apple/collections/apple/products/iphone-12-mini
iPhone SE (2020),"RM 3,449",RM 670,https://shop.compasia.com/collections/apple/collections/apple/products/iphone-se-2020
iPhone 11 128GB Excellent,"RM 3,949",RM 550,https://shop.compasia.com/collections/apple/collections/apple/products/iphone-11-128gb-excellent
iPhone 13 Pro,"RM 3,399","RM 1,450",https://shop.compasia.com/collections/apple/collections/apple/products/iphone-13-pro
iPhone 11 128GB Fair,RM 989,RM 720,https://shop.compasia.com/collections/apple/collections/apple/products/iphone-11-128gb-fair
