source,Title,Writer,ISBN No.,Publisher,Published Date,No of page,Weight(g),Cover Type,Dimension,Category,Bonus,Language,Stock Location'
https://www.bukukita.com/Inspirasi-dan-Spiritual/Kiat-Sukses/168465-Buku-Business-Start-Up-Primbon-Helmy-Yahya.html,Buku Business Start Up Primbon Helmy Yahya,,9.78624E+12,Bukukita.com,Januari - 2022,-,900 gr,Soft Cover,-,Kiat Sukses,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Orang-Tua-dan-Keluarga/Orang-Tua-dan-Anak/153355-Musketeer-Siblings:-Membangun-Persaudaraan-yang-Akur-dan-Kompak-di-antara-Anak-Anak-Anda.html,Musketeer Siblings: Membangun Persaudaraan yang Akur dan Kompak di antara Anak-Anak Anda,,9.78603E+12,Growing Publishing,Oktober - 2017,-,200 gr,Soft Cover,-,Orang Tua dan Anak,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Inspirasi-dan-Spiritual/Entrepreneurship/103209-MBS-:-Money-&-Business-Skills.html,MBS : Money & Business Skills,,97860219729,W & G Wealth & Grow,Mei - 2012,152,500 gr,soft cover,-,Entrepreneurship,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Buku-Novel/Islam/166448-Cinta-untuk-Perempuan-yang-Tidak-Sempurna.html,Cinta untuk Perempuan yang Tidak Sempurna (Reguler),,9.78603E+12,Literati-books,Juli - 2020,160,350 gr,Soft Cover,140x210mm,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Agama/Islam/135011-Renungan-Sufistik:-Renungan-Penentram-Hati.html,Renungan Sufistik: Renungan Penentram Hati,,9.78603E+12,Oncor Semesta Publisher,2012,-,100 gr,Soft Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Aksesoris-Kado-&-Parcel/Kertas-Kado/157444-Bungkus-Kertas-Kado-Motif-Angry-Birds-1.html,Bungkus Kertas Kado Motif Angry Birds 1,,-,Bukukita.com,2018,-,25 gr,-,-,Kertas Kado,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/168940-Live-the-Moment.html,Live the Moment,,9.78624E+12,Gemilang,Juli - 2022,480,500 gr,Soft Cover,-,Pengembangan Diri,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Ekonomi-dan-Manajemen/Bisnis-Investasi/169389-Strategi-Bisnis-Berbasis-Cinta:-Menjadikan-Cinta-Dan-Kasih.html,Strategi Bisnis Berbasis Cinta: Menjadikan Cinta Dan Kasih,,9.78624E+12,Gemilang,Sep-22,401,350 gr,Soft Cover,13x20mm,Bisnis-Investasi,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Agama/Islam/156993-Jilbab-Pakaian-Wanita-Muslimah-Edisi-Terbaru.html,Jilbab Pakaian Wanita Muslimah - Edisi Terbaru,,9.78603E+12,Lentera Hati,Mei - 2018,-,200 gr,Soft Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Agama/Islam/169388-Jika-Allah-Berkehendak-Tak-Ada-Yang-Mustahil.html,Jika Allah Berkehendak Tak Ada Yang Mustahil,,9.78624E+12,Alifia Books,Sep-22,-,350 gr,Soft Cover,13x20mm,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Agama/Islam/140082-Pengantin-Al-Quran-:-8-Nasehat-Perkawinan-Untuk-Anak-anakku.html,Pengantin Al-Quran : 8 Nasehat Perkawinan Untuk Anak-anakku,,9.78603E+12,Lentera Hati,Januari - 2016,-,400 gr,Soft Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=2179,,,,,,,,,,,,,
https://www.bukukita.com/Buku-Novel/Anak-Anak/159596-Kumpulan-Cerita-Islami-Pengantar-Tidur-Anak.html,Kumpulan Cerita Islami - Pengantar Tidur Anak,,9.78603E+12,Mueeza kids,Oktober - 2018,-,350 gr,Soft Cover,-,Anak-Anak,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/169517-Pahami-Jenis-Otak-Anda-dan-Maksimalkan-Kekuatannya-Agar-Anda-Lebih-Bahagia.html,Pahami Jenis Otak Anda dan Maksimalkan Kekuatannya Agar Anda Lebih Bahagia,,9.78624E+12,Gemilang,Nov-22,464,520 gr,Soft Cover,15x23mm,Pengembangan Diri,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Buku-Novel/Remaja/81970-Gara-gara-Facebook.html,Gara-gara Facebook,,9.78603E+12,Leutika,Juli - 2010,188,200 gr,Soft Cover,-,Remaja,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=1296,,,,,,,,,,,,,
https://www.bukukita.com/Perhotelan-dan-Pariwisata/Pariwisata/126710-MPASI-Travelling-Cihuy!.html,MPASI Travelling Cihuy! (Edisi Baru),,9.78602E+12,Asha Book,Juni - 2014,-,100 gr,Soft Cover,-,Pariwisata,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Agama/Islam/169629-Mindset-Islami-Muslimah-Milenial.html,Mindset Islami Muslimah Milenial,,9.78624E+12,Alifia Books,Januari - 2023,336,300 gr,Soft Cover,13x20mm,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/katalogbukuatribut.php?atrId=2&page=1,,,,,,,,,,,,,
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/168350-Baca-Buku-Ini-Saat-Engkau-Marah.html,Baca Buku Ini Saat Engkau Marah,,9.78623E+12,Psikologi Corner,Nov-21,200,200 gr,soft cover,-,Pengembangan Diri,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Psikologi/169469-Seni-Mencintai-Diri-Sendiri.html,Seni Mencintai Diri Sendiri ( Anak Hebat ),,9.78623E+12,Psikologi Corner,Oktober - 2022,210,190 gr,Soft Cover,14x20mm,Psikologi,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Buku-Novel/Remaja/82016-Trilogi-Bono-&-Bawon-:-Selamat-Tinggal-Ca....html,Trilogi Bono & Bawon : Selamat Tinggal Ca...,,9.78603E+12,Leutika,Juli - 2010,-,250 gr,Soft Cover,-,Remaja,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Non-Fiksi-Lainnya/Kisah-Nyata/121931-Ibu-Sayang-Kamu.html,Ibu Sayang Kamu,,9.78602E+12,Adi Bintang,Januari - 2014,-,250 gr,Soft Cover,-,Kisah Nyata,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Agama/Al-Quran/98043-AN-NUR-AL-QURAN.html,AN NUR AL-QURAN,,-,Fokus Media,Nov-11,-,350 gr,-,-,Al-Quran,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Agama/Islam/79790-Dahsyatnya-Doa-Orang-Teraniaya.html,Dahsyatnya Doa Orang Teraniaya (2010),,978,Al Mawardi,Mei - 2010,-,300 gr,Hard Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=80,,,,,,,,,,,,,
https://www.bukukita.com/Kesehatan-dan-Lingkungan/Pengetahuan-Kesehatan/141450-Sehat-dengan-Rempah-dan-Bumbu-Dapur.html,Sehat dengan Rempah dan Bumbu Dapur,,9.78602E+12,Kompas,Maret - 2016,-,250 gr,Soft Cover,-,Pengetahuan Kesehatan,-,Indonesia,Stok Tersedia.
"https://www.bukukita.com/Agama/Islam/167124-Islam-&-Kebangsaan:-Tauhid,-Kemanusiaan-dan-Kewarganegaraan.html","Islam & Kebangsaan: Tauhid, Kemanusiaan dan Kewarganegaraan(Reguler)",,9.78624E+11,Lentera Hati,Nov-20,176,350 gr,Soft Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Anak-Anak/Islam/138880-Doa-Anak-Saleh-Al-Ikhlas-Jilid-2-BK.html,Doa Anak Saleh Al-Ikhlas Jilid 2 BK,,9.78602E+12,IKHLAS MEDIA,Nov-15,-,400 gr,Soft Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Anak-Anak/Islam/138884-Doa-Anak-Saleh-Al-Ikhlas-Jilid-3-BK.html,Doa Anak Saleh Al-Ikhlas Jilid 3 BK,,9.78602E+12,IKHLAS MEDIA,Nov-15,-,400 gr,Soft Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=35,,,,,,,,,,,,,
https://www.bukukita.com/Anak-Anak/Islam/138881-Doa-Anak-Saleh-Al-Ikhlas-Jilid-4-BK.html,Doa Anak Saleh Al-Ikhlas Jilid 4 BK,,9.78602E+12,IKHLAS MEDIA,Nov-15,-,400 gr,Soft Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Masakan-dan-Makanan/Resep-Masakan/157703-Menu-Terfavorit-dan-Hit-dari-instagram-Cooking-With-Sheila-Full-Colour.html,Menu Terfavorit dan Hit dari instagram Cooking With Sheila - Full Colour,,9.78979E+12,Andi Publisher,Juli - 2018,376,900 gr,Soft Cover,-,Resep Masakan,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Agama/Islam/135015-JAHILIYAH-KONTEMPORER-DAN-HEGEMONI-NALAR-KEKERASAN-:-Merajut-Islam-Indonesia-Membangun-Peradaban-Dunia.html,JAHILIYAH KONTEMPORER DAN HEGEMONI NALAR KEKERASAN : Merajut Islam Indonesia Membangun Peradaban Dunia,,9.78602E+12,Lkis,2014,198,250 gr,Soft Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Agama/Islam/162629-Aisyah-Ibu-dan-Guru-Ummat-Muslim-Hard-Cover.html,Aisyah Ibu dan Guru Ummat Muslim - Hard Cover,,9.78602E+12,Tatban,Oktober - 2017,-,500 gr,Hard Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=1590,,,,,,,,,,,,,
https://www.bukukita.com/searchresult.php?id=3&key=1550,,,,,,,,,,,,,
https://www.bukukita.com/Anak-Anak/Keterampilan/127452-Belajar-Sambil-Bermain.html,Belajar Sambil Bermain,,9.78603E+12,Batavia Imaji,Agustus - 2014,-,100 gr,Soft Cover,-,Keterampilan,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Buku-Novel/Romance/166568-Putri-Hujan-Dan-Kesatria-Malam.html,Putri Hujan Dan Kesatria Malam (Reguler),,9.78603E+12,Lentera Hati,Agustus - 2020,468,400 gr,Soft Cover,130x190mm,Romance,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Aksesoris-Kado-&-Parcel/Kertas-Kado/157445-Bungkus-Kertas-Kado-Motif-Angry-Birds-2.html,Bungkus Kertas Kado Motif Angry Birds 2,,-,Bukukita.com,2018,1,25 gr,-,-,Kertas Kado,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Biografi-dan-Memoar/Memoar/139011-Sweetness-of-Cindy-Gulla.html,Sweetness of Cindy Gulla ( Edisi Tanda Tangan ),,9.78602E+12,Bukune,Desember - 2015,152,120 gr,Soft Cover,-,Memoar,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Biografi-dan-Memoar/Memoar/129620-Catatan-Rahasia-Dokter-Pribadi-Hitler.html,Catatan Rahasia Dokter Pribadi Hitler,,9.78603E+12,Oncor Semesta Publisher,Februari - 2014,416,500 gr,Soft Cover,-,Memoar,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Agama/Islam/162663-Kumpulan-Khotbah-Jumat-Terbaik-Sepanjang-Tahun-Hijriah-Hard-Cover.html,Kumpulan Khotbah Jumat Terbaik Sepanjang Tahun Hijriah - Hard Cover,,9.78603E+12,Senja Publishing,2018,-,1200 gr,Hard Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Buku-Novel/Romance/163112-11.11-I-Wish-For-You-By-The-Way.html,11.11 I Wish For You By The Way,,9.78624E+12,Reynara,Agustus - 2019,-,300 gr,Soft Cover,-,Romance,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=2232,,,,,,,,,,,,,
https://www.bukukita.com/searchresult.php?id=3&key=1784,,,,,,,,,,,,,
https://www.bukukita.com/Agama/Al-Quran/144409-AL-AKHYAR-A6.html,AL-AKHYAR A6 (COVER PINK),,-,Mulia Qur'an,Juni - 2016,-,500 gr,-,76x110mm,Al-Quran,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=857,,,,,,,,,,,,,
https://www.bukukita.com/Hobi-dan-Usaha/Musik/110442-Kumpulan-lagu-Super-Hits.html,Kumpulan lagu Super Hits,,9.7908E+12,Laskar Aksara,Februari - 2013,-,200 gr,Soft Cover,-,Musik,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Agama/Islam/82854-Maknai-Terus-Sholatmu.html,Maknai Terus Sholatmu,,97989664060,Lkis,2007,133,150 gr,-,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Agama/Islam/87747-Masyarakat-Tak-Bernegara-;-Kritik-Teori-Politik-Islam.html,Masyarakat Tak Bernegara ; Kritik Teori Politik Islam,,9.78979E+12,Lkis,Juni - 2001,102,150 gr,Soft Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=1210,,,,,,,,,,,,,
https://www.bukukita.com/Non-Fiksi-Lainnya/Non-Fiksi-Umum/127273-Model-Letters-For-Young-Girls.html,Model Letters For Young Girls,,9794045748,Angkasa,Agustus - 2014,47,40 gr,Soft Cover,-,Non-Fiksi Umum,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Agama/Islam/114289-Tijaratan-Lan-Tabur.-Perniagaan-Tiada-Rugi.html,Tijaratan Lan Tabur. Perniagaan Tiada Rugi,,9.78603E+12,Pustaka Pesantren,2012,-,100 gr,Soft Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=935,,,,,,,,,,,,,
https://www.bukukita.com/katalogbukuatribut.php?atrId=5&page=1,,,,,,,,,,,,,
"https://www.bukukita.com/Masakan-dan-Makanan/Resep-Masakan/113818-Aneka-Macaroon-Paling-Populer,-Favorit,-Istimewa.html","Aneka Macaroon Paling Populer, Favorit, Istimewa",,9.78603E+12,Dunia Kreasi,Mei - 2013,-,150 gr,Soft Cover,-,Resep Masakan,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Buku-Novel/Fiksi/162590-Ababil-dan-Tiga-Kitab-Iblis-Sebuah-Novel.html,Ababil dan Tiga Kitab Iblis - Sebuah Novel,,9.78603E+12,Literati-books,Oktober - 2015,-,450 gr,Soft Cover,-,Fiksi,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Aksesoris-Kado-&-Parcel/Kertas-Kado/157443-Bungkus-Kertas-Kado-Motif-Baby.html,Bungkus Kertas Kado Motif Baby,,-,Bukukita.com,2018,1,25 gr,-,-,Kertas Kado,-,Indonesia,Stok Tersedia.
