source,Title,Writer,ISBN No.,Publisher,Published Date,No of page,Weight(g),Cover Type,Dimension,Category,Bonus,Language,Stock Location'
https://www.bukukita.com/Agama/Islam/168292-Hikayat-Para-Dermawan-:-Hikmah-dan-Teladan-dari-Orang-Orang-Saleh-yang-Gemar-Memberi.html,Hikayat Para Dermawan : Hikmah dan Teladan dari Orang-Orang Saleh yang Gemar Memberi,,9.78624E+12,Alifia Books,Nov-21,-,350 gr,Soft Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=743,,,,,,,,,,,,,
https://www.bukukita.com/Agama/Islam/155871-Kompilasi-Hadis-Dakwah.html,Kompilasi Hadis Dakwah,,9.78603E+12,Simbiosa Rekatama Media,Maret - 2018,-,250 gr,Soft Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=701,,,,,,,,,,,,,
https://www.bukukita.com/Agama/Islam/167462-Tafakur-Umat-Qurani.html,Tafakur Umat Qurani,,9.78624E+12,Lentera Hati,Apr-21,-,300 gr,Soft Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=830,,,,,,,,,,,,,
https://www.bukukita.com/Non-Fiksi-Lainnya/Non-Fiksi-Umum/115265-100-Kejadian-Menghebohkan-Tanda-Kekuasaan-Allah.html,100 Kejadian Menghebohkan Tanda Kekuasaan Allah,,9.78603E+12,Titik Media,Juni - 2013,-,250 gr,Soft Cover,-,Non-Fiksi Umum,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Buku-Novel/Drama/155261-Laut-Bercerita.html,Laut Bercerita,,9.78602E+12,Kpg,Desember - 2017,400,350 gr,Soft Cover,-,Drama,-,Indonesia,Gudang Penerbit
https://www.bukukita.com/Biografi-dan-Memoar/Biografi/135016-Michael-Jackson-;-Life-of-The-Legend.html,Michael Jackson ; Life of The Legend,,9.78603E+12,Oncor Semesta Publisher,2012,142,150 gr,Soft Cover,-,Biografi,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Agama/Islam/168738-Perempuan.html,Perempuan (Cover Baru),,9.78603E+12,Lentera Hati,Apr-22,407,400 gr,Soft Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=756,,,,,,,,,,,,,
https://www.bukukita.com/Hukum-dan-Undang-undang/Undang-undang/86142-Penempatan-dan-Perlindungan-Tenaga-Kerja-Indonesia.html,Penempatan dan Perlindungan Tenaga Kerja Indonesia (Edisi 2010) (2010),,978,Fokus Media,2010,252,200 gr,Soft Cover,11x21mm,Undang-undang,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Hukum-dan-Undang-undang/Undang-undang/114966-Susunan-Dalam-Satu-Naskah-Undang-Undang-Pajak-Pertambahan-Nilai.html,Susunan Dalam Satu Naskah Undang-Undang Pajak Pertambahan Nilai (PPn BM),,9.78603E+12,Fokus Media,2013,-,200 gr,Soft Cover,-,Undang-undang,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Anak-Anak/Pendidikan-Anak/127454-Sticker-Book-Seru-Berpetualangan-Di-Negeri-Dinosaurus.html,Sticker Book - Seru Berpetualangan Di Negeri Dinosaurus,,9.78603E+12,Batavia Imaji,Agustus - 2014,-,100 gr,Soft Cover,-,Pendidikan Anak,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Orang-Tua-dan-Keluarga/Psikologi-&-Pendidikan-Anak/168845-Komunikasi-Qurani.html,Komunikasi Qurani,,9.78623E+12,Alvabet,Mei - 2022,-,360 gr,Soft Cover,15x24mm,Psikologi & Pendidikan Anak,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=992,,,,,,,,,,,,,
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/167120-Who-The-Hell-Are-You?-Buku-Personal-Branding-oleh-Helmy-Yahya.html,Who The Hell Are You? Buku Personal Branding oleh Helmy Yahya,,9.78624E+12,PT Rumah Tulis,Desember - 2020,244,400 gr,Hard Cover,17x25mm,Pengembangan Diri,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=1785,,,,,,,,,,,,,
https://www.bukukita.com/Agama/Al-Quran/144423-Al-Akram-A5.html,Al-Akram A5 (Cover Hitam),,-,Mulia Qur'an,Juni - 2016,-,800 gr,Hard Cover,-,Al-Quran,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Aksesoris-Kado-&-Parcel/Kertas-Kado/157446-Bungkus-Kertas-Kado-Motif-Snow-White-&-Cinderella.html,Bungkus Kertas Kado Motif Snow White & Cinderella,,-,Bukukita.com,2018,1,25 gr,-,-,Kertas Kado,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=1182,,,,,,,,,,,,,
https://www.bukukita.com/Biografi-dan-Memoar/Memoar/117987-NOAH-6.903-Mil-Versi-REGULER.html,NOAH 6.903 Mil Versi REGULER,,9.7898E+12,Kpg,Sep-13,242,1500 gr,Soft Cover,-,Memoar,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Orang-Tua-dan-Keluarga/Orang-Tua-dan-Anak/158233-Catatan-Ayahasi-Ditambah-tambahin.html,Catatan Ayahasi Ditambah-tambahin (reguler),,9.78603E+12,Buah Hati,Agustus - 2018,192,200 gr,Soft Cover,13x19mm,Orang Tua dan Anak,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Non-Fiksi-Lainnya/Kisah-Nyata/157702-Cahaya-Di-Penjuru-HATI-Based-On-True-Story.html,Cahaya Di Penjuru HATI - Based On True Story,,9.78979E+12,Andi Publisher,Juli - 2018,-,600 gr,Soft Cover,-,Kisah Nyata,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/167592-Workless-Earnmore-the-trilogy-Part-2.html,Workless Earnmore the trilogy Part 2,,9.78603E+12,TDW,Mei - 2021,170,350 gr,Soft Cover,140x210mm,Pengembangan Diri,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=2628,,,,,,,,,,,,,
https://www.bukukita.com/Remaja/Pengembangan-Diri/167977-Breaking-The-Wall.html,Breaking The Wall,,9.78624E+12,PT Rumah Tulis,Agustus - 2021,304,400 gr,Hard Cover,-,Pengembangan Diri,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=898,,,,,,,,,,,,,
https://www.bukukita.com/Buku-Teks/Matematika/88500-Buku-Saku-Kumpulan-Rumus-Matematika-SMA-IPA.html,Buku Saku Kumpulan Rumus Matematika SMA IPA (Sesuai Daftar Isi KTSP 2006),,-,Pustaka Ceria,2008,-,100 gr,Soft Cover,-,Matematika,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=1842,,,,,,,,,,,,,
https://www.bukukita.com/Hobi-dan-Usaha/Menulis/148186-Panduan-Menulis-Siswa-Tingkat-Dasar.html,Panduan Menulis Siswa Tingkat Dasar,,-,Eureka Academia,2015,114,250 gr,Soft Cover,-,Menulis,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=2206,,,,,,,,,,,,,
"https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/161023-WorkLess,-EarnMore-the-trilogy-Part-1.html","WorkLess, EarnMore the trilogy Part 1",,9.78603E+12,TDW,Februari - 2019,170,400 gr,Soft Cover,-,Pengembangan Diri,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Motivasi/169484-PROPERTI-KO.MO.DO.html,PROPERTI KO.MO.DO ( PIPO Hargiyanto ),,9.78624E+12,Bukukita.com,Nov-22,-,150 gr,Soft Cover,14x20mm,Motivasi,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=2657,,,,,,,,,,,,,
https://www.bukukita.com/Ekonomi-dan-Manajemen/Marketing/168788-Online-Advertising-Summary-:-Rangkuman-Tips-Beriklan-Selama-9-Tahun.html,Online Advertising Summary : Rangkuman Tips Beriklan Selama 9 Tahun,,-,The Conversion,Apr-22,143,300 gr,Soft Cover,-,Marketing,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Komik/Komedi/140421-Komik-Dari-Twit-nya-Raditya-Dika.html,Komik Dari Twit-nya Raditya Dika (Disc 50%),,9.7898E+12,GagasMedia,Februari - 2016,140,250 gr,Soft Cover,13x19mm,Komedi,Edisi Tanda Tangan,Indonesia,Stok Tersedia.
https://www.bukukita.com/Produk-lainnya/Membership/167330-Keanggotaan-Investasi-Dropship-Bukukita.html,,,,,Februari - 2021,-,1 gr,-,-,Membership,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Produk-lainnya/Membership/167329-Keanggotaan-Investasi-Reseller-Bukukita.html,,,,,Februari - 2021,-,1 gr,-,-,Membership,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Agama/Islam/169652-Logika-Agama.html,Logika Agama (EDISI BARU),,-,Lentera Hati,Januari - 2023,296,400 gr,Soft Cover,15x23mm,Islam,-,Indonesia,Gudang Penerbit
https://www.bukukita.com/Anak-Anak/Keterampilan/135873-Belajar-Mewarnai-Boboi-Boy-Edisi-ke-2.html,Belajar Mewarnai Boboi Boy Edisi ke-2,,9.78602E+12,Kurniaesa,Juni - 2015,-,50 gr,Soft Cover,-,Keterampilan,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=41,,,,,,,,,,,,,
https://www.bukukita.com/Buku-Novel/Teenlit/150939-Feel-Real.html,Feel Real (Disc 50%),,9.7898E+12,GagasMedia,Juli - 2017,430,450 gr,Soft Cover,14x20mm,Teenlit,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=1226,,,,,,,,,,,,,
https://www.bukukita.com/Agama/Al-Quran/98042-Al-Quran-AN-NUR.html,Al-Qur'an AN NUR,,-,Fokus Media,Nov-11,-,400 gr,-,-,Al-Quran,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Hobi-dan-Usaha/Keterampilan-&-Desain/108968-Berbagai-Hasil-Pekerjaan-dan-Keterampilan.html,Berbagai Hasil Pekerjaan dan Keterampilan,,978,Titian Ilmu,2008,68,100 gr,Soft Cover,-,Keterampilan & Desain,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=1350,,,,,,,,,,,,,
https://www.bukukita.com/Buku-Novel/Romance/141582-PINKLUV.html,PINKLUV (Non TTD) (Disc 30%),,9.78603E+12,Loveable,Maret - 2016,-,145 gr,Soft Cover,-,Romance,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=293,,,,,,,,,,,,,
https://www.bukukita.com/Agama/Islam/140783-Risalah-Shalat-dan-Majmu-Syarir-Superlengkap.html,Risalah Shalat dan Majmu Syarir Superlengkap,,9.78602E+12,Puspa Swara,Februari - 2016,472,400 gr,Soft Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Hobi-dan-Usaha/Tanaman-&-Taman/150040-Sukses-Budidaya-Jahe.html,Sukses Budidaya Jahe (Untung Bersih Hingga 95 Juta),,9.78603E+12,Anak Hebat Indonesia,Apr-17,-,250 gr,Soft Cover,-,Tanaman & Taman,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/Buku-Novel/Romance/150234-Di-Penghujung-Pelukan.html,Di Penghujung Pelukan (Disc 50%),,9.7898E+12,TransMedia Pustaka,Mei - 2017,280,250 gr,Soft Cover,13x19mm,Romance,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=45,,,,,,,,,,,,,
https://www.bukukita.com/Biografi-dan-Memoar/Biografi/121522-Kisah-Seru-Bintang-Sepak-Bola-Muslim.html,Kisah Seru Bintang Sepak Bola Muslim,,9.78602E+12,Adi Bintang,Januari - 2014,-,420 gr,Soft Cover,-,Biografi,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=2203,,,,,,,,,,,,,
https://www.bukukita.com/Buku-Novel/Remaja/163832-Just-You-and-Me.html,Just You and Me,,9.78624E+12,Storial Publishing,Nov-19,-,250 gr,Soft Cover,-,Remaja,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=1566,,,,,,,,,,,,,
https://www.bukukita.com/Agama/Islam/146848-Hadis-Tarbawi.html,Hadis Tarbawi,,9.7898E+12,Remaja Rosdakarya,2015,152,300 gr,Soft Cover,-,Islam,-,Indonesia,Stok Tersedia.
https://www.bukukita.com/searchresult.php?id=3&key=1908,,,,,,,,,,,,,
