pnum,parliment,mp,party,votes,coalition
P1,PADANG BESAR, RUSHDAN RUSMI ,PN-PAS,24267,PN
P2,KANGAR,  ZAKRI HASSAN ,PN-BERSATU,24562,PN
P3,ARAU, SHAHIDAN  KASSIM ,PN- BERSATU,31458,PN
P4,LANGKAWI, SUHAIMI ABDULLAH ,PN-BERSATU,25463,PN
P5,JERLUN, ABD GHANI AHMAD ,PN-PAS,31685,PN
P6,KUBANG PASU, DATUK KU ABD RAHMAN KU ISMAIL ,PN-BERSATU,47584,PN
P7,PADANG TERAP, NURUL AMIN HAMID ,PN-PAS,28217,PN
P8,POKOK SENA, DATUK AHMAD SAAD @ YAHAYA ,PN-PAS,52275,PN
P9,ALOR SETAR, AFNAN HAMIMI TAIB AZAMUDDEN ,PN-PAS,37486,PN
P10,KUALA KEDAH, AHMAD FAKHRUDDIN FAKHRURAZI ,PN-PAS,56298,PN
P11,PENDANG, AWANG HASHIM ,PN-PAS,49008,PN
P12,JERAI, SABRI AZIT ,PN-PAS,49461,PN
P13,SIK, AHMAD TARMIZI SULAIMAN ,PN-PAS,34606,PN
P14,MERBOK, MOHD NAZRI ABU HASSAN ,PN-BERSATU,52573,PN
P15,SUNGAI PETANI, MOHAMMED TAUFIQ JOHARI ,PH-PKR,50580,PH
P16,BALING, HASSAN SAAD ,PN-PAS,64493,PN
1.,"DATUK AZMAN NASRUDIN (PN-BERSATU) 51,637 MENANG",None,None,None,OTHER
2.,"ROSLAN HASHIM (PN-BERSATU) 34,469 MENANG",None,None,None,OTHER
2.,"DATUK MUMTAZ MD NAWI (PAS) 65,426 MENANG",None,None,None,OTHER
4.,"DATUK AHMAD MARZUK SHAARY (PAS) 53,933 MENANG",None,None,None,OTHER
1.,"DATUK SERI TAKIYUDDIN HASSAN (PAS) 41,869 MENANG",None,None,None,OTHER
2.,"AHMAD FADHLI SHAARY (PAS) 44,444 MENANG",None,None,None,OTHER
2.,"SITI ZAILAH MOHD YUSOFF (PN-PAS) 37,759 MENANG",None,None,None,OTHER
4.,"DATUK SERI TUAN IBRAHIM TUAN MAN (PAS) 55,654 MENANG",None,None,None,OTHER
1.,"MOHD SYAHIR CHE SULAIMAN (PN-PAS) 57,130 MENANG",None,None,None,OTHER
3.,"KHLIR MOHD NOR (PN-BERSATU) 40,542 MENANG",None,None,None,OTHER
5.,"IKMAL HISHAM ABDUL AZIZ (PN-BERSATU) 54,266 MENANG",None,None,None,OTHER
4.,"DATUK DR NIK MUHAMMAD ZAWAWI SALLEH (PAS)52,937 MENANG",None,None,None,OTHER
3.,"WAN AHMAD FAYHSAL WAN AHMAD KAMAL (PN-BERSATU) 35,603 MENANG",None,None,None,OTHER
2.,"ZAHARI KECIK (PN-BERSATU) 27,072 MENANG",None,None,None,OTHER
1.," ABDUL LATIFF ABDUL RAHMAN (PN-PAS) 42,740 MENANG",None,None,None,OTHER
2.,"DATUK MOHD AZIZI ABU NAIM (PAS-Bersatu) 21,826 MENANG",None,None,None,OTHER
1.," CHE MOHAMAD ZULKEFLY JUSOH (PN-PAS) 49,569 MENANG",None,None,None,OTHER
2.,"SHAHARIZUKIRNAIN ABD KADIR (PN-PAS) 50,768 MENANG",None,None,None,OTHER
1.,"DR ALIAS RAZAK (PN-PAS) 56,697 MENANG",None,None,None,OTHER
4.,"AHMAD AMZAD HASHIM (PN-PAS) 63,016 MENANG",None,None,None,OTHER
1.,"TAN SRI ABDUL HADI AWANG (PAS) 73,115 MENANG",None,None,None,OTHER
3.,"ROSOL WAHID (PN-BERSATU) 42,910 MENANG",None,None,None,OTHER
5.,"WAN HASAN MOHD RAMLI (PN-PAS) 59,720 MENANG",None,None,None,OTHER
2.,"CHE ALIAS HAMID (PAS) 65,714 MENANG",None,None,None,OTHER
2.,"DR SITI MASTURA MOHAMAD (PN-PAS): 28,604 MENANG",None,None,None,OTHER
5.,"WAN SAIFUL WAN JAN (PN-BERSATU): 31,116 MENANG",None,None,None,OTHER
1.," LIM GUAN ENG (PH-DAP): 55,797 MENANG",None,None,None,OTHER
2.,"MUHAMMAD FAWWAZ MD JAN (PN-PAS): 37,638 MENANG",None,None,None,OTHER
1.," SIM CHEE KEONG (PH-DAP): 71,722 MENANG",None,None,None,OTHER
2.,"CHOW KON YEOW (PH-DAP) 50,744 MENANG",None,None,None,OTHER
1.,"FADHLINA SIDEK (PH-PKR) 42,188 MENANG",None,None,None,OTHER
1.,"SYERLEENA ABDUL RASHID (PH-DAP): 49,353 MENANG",None,None,None,OTHER
1.,"LIM HUI YING (PH-DAP)31,968 MENANG",None,None,None,OTHER
1.," SANISVARA NETHAJI RAYER RAJAJI (PH-DAP): 50,369 MENANG",None,None,None,OTHER
2.,"RAMKARPAL SINGH (PH-DAP)........71,204 MENANG",None,None,None,OTHER
5.,"SIM TZE TZIN (PH-PKR): 55,209 MENANG",None,None,None,OTHER
2.,"MUHAMAD BAKHTIAR WAN CHIK (PH-PKR): 24,564 MENANG",None,None,None,OTHER
2.,"FATHUL HUZIR AYOB (PN-BERSATU) 15,105 MENANG",None,None,None,OTHER
1.,"SHAMSUL ANUAR NASARAH (BN-UMNO).12,588 MENANG",None,None,None,OTHER
3.,"DATUK SERI HAMZAH ZAINUDIN (PN-BERSATU) 28,350 MENANG",None,None,None,OTHER
2.,"MOHD MISBAHUL MUNIR MASDUKI (PN-PAS) 23,223 MENANG",None,None,None,OTHER
1.,"IDRIS AHMAD (PN-PAS) 33,753 MENANG",None,None,None,OTHER
1.,"SYED ABU HUSSIN HAFIZ SYED ABDUL FASAL (PN-BERSATU) 32,625 MENANG",None,None,None,OTHER
3.,"WONG KAH WOH (PH-DAP)47,098 MENANG",None,None,None,OTHER
1.,"KAPTEN AZAHARI HASAN (PN-Bersatu)12,931 MENANG",None,None,None,OTHER
4.,"S. KESAVAN (PH-PKR) 21,637 MENANG",None,None,None,OTHER
1.,"DATUK SERI ANWAR IBRAHIM (PH-PKR) 49,625 menang",None,None,None,OTHER
3.,"HOWARD LEE CHUAN HOW (PH-DAP) 57,549 menang",None,None,None,OTHER
2.,"M. KULASEGARAN (PH-DAP) 63,915 MENANG",None,None,None,OTHER
2.,"V. SIVAKUMAR (PH-DAP) 60,999 MENANG",None,None,None,OTHER
1.,"DATUK ISKANDAR DZULKARNAIN ABDUL KHALID (PN-BERSATU) 14,380 MENANG",None,None,None,OTHER
1.,"DATUK NGEH KOO HAM (PH-DAP) 46,710 MENANG",None,None,None,OTHER
1.,"MUHAMMAD ISMI MAT TAIB (PN-PAS)17,181 MENANG",None,None,None,OTHER
3.,"CHONG ZHEMIN (PH-DAP)30,467 MENANG",None,None,None,OTHER
3.,"TAN KAR HING (PH-DAP)55,880 MENANG",None,None,None,OTHER
4.,"DATUK SERI M SARAVANAN (BN-MIC)18,398 MENANG",None,None,None,OTHER
3.,"JAMALUDDIN YAHYA (PN-PAS) 24,897 MENANG",None,None,None,OTHER
3.,"KOMANDER (B) NORDIN AHMAD ISMAIL (PN-BERSATU) 25,212 MENANG",None,None,None,OTHER
4.,"DATUK SERI DR AHMAD ZAHID HAMIDI (BN-UMNO) 16,578 MENANG",None,None,None,OTHER
1.,"NGA KOR MING (PH-DAP) 33,133 MENANG",None,None,None,OTHER
3.,"CHANG LIH KANG (PH-PKR) 25,140 MENANG",None,None,None,OTHER
1.,"RAMLI MOHD NOR (BN-UMNO)...16,120 MENANG",None,None,None,OTHER
4.,"DATUK SERI ABDUL RAHMAN MOHAMAD (BN-UMNO) 17,672 MENANG",None,None,None,OTHER
1.,"CHOW YU HUI (PH-DAP) 21,613 MENANG",None,None,None,OTHER
3.,KHAIRIL NIZAM KHIRUDIN (PN-PAS)...31.701 MENANG,None,None,None,OTHER
2.,"SAIFUDDIN ABDULLAH (PN-BERSATU)...41,692 MENANG",None,None,None,OTHER
3.,"WAN RAZALI WAN NOR (PN-PAS)...25,514 MENANG",None,None,None,OTHER
4.,"MOHD SHAHAR ABDULLAH (BN-UMNO)...26,899 MENANG",None,None,None,OTHER
