Title,Author,Published date,Foramt,Price
Weapons of Math Destruction,Cathy O'Neil,2017-07-06,Paperback,12.49
Big Data,Viktor Mayer-Schönberger,2014-03-04,Paperback,13.57
Big Data,Viktor Mayer-Schönberger,2017-01-12,Paperback,15.58
Big Data,Brian Clegg,2017-10-10,Paperback,16.11
"Big Data - Using SMART Big Data, Analytics and Metrics To Make Better Decisions and Improve Performance",BB Marr,2015-03-02,Paperback,12.48
Big Data: A Very Short Introduction,Dawn E. Holmes,2018-01-30,Paperback,16.04
Everybody Lies,Seth Stephens-Davidowitz,2017-05-09,Hardback,7.32
Big Data in Practice (use cases) - How 45 Successful Companies Used Big Data Analytics to Deliver Extraordinary Results,BB Marr,2016-05-02,Hardback,12.95
Big Data For Dummies,JS Hurwitz,2013-04-19,Paperback,13.62
Big Data,Timandra Harkness,2017-08-29,Paperback,22.22
"Data Science & Big Data Analytics - Discovering, A nalyzing, Visualizing and Presenting Data",EMC Education S,2015-03-17,Hardback,8.78
The Art of Invisibility,Kevin D. Mitnick,2019-09-26,Paperback,12.07
"Big Data, Big Dupe",Stephen Few,2018-02-01,Paperback,19.35
Spark - The Definitive Guide,Bill Chambers,2018-04-03,Paperback,29.28
Big Data Fundamentals,Thomas Erl,2016-01-15,Paperback,27.86
Life After Google,George Gilder,2018-08-02,Hardback,39.95
Big Data Baseball,Travis Sawchik,2016-05-03,Paperback,25.44
Big Data Demystified,David Stephenson,2018-02-22,Paperback,34.99
Loyalty 3.0: How to Revolutionize Customer and Employee Engagement with Big Data and Gamification,Rajat Paharia,2013-07-01,Hardback,13.80
Statistics For Big Data For Dummies,A Anderson,2015-09-08,Paperback,17.17
Weapons of Math Destruction,Cathy O'Neil,2017-09-05,Paperback,64.34
"Privacy, Big Data, and the Public Good",Julia Lane,2018-11-23,Paperback,16.05
The Rise of Big Data Policing,Andrew Guthrie Ferguson,2017-10-03,Hardback,19.18
Reinventing Capitalism in the Age of Big Data,Viktor Mayer-Schönberger,2019-01-24,Paperback,13.94
Smart Cities,Anthony M. Townsend,2014-11-17,Paperback,48.62
"The Big Data-Driven Business - How to Use Big Data to Win Customers, Beat Competitors, and Boost Profits",R Glass,2015-01-20,Hardback,60.58
Big Data and Machine Learning in Quantitative Investment,T Guida,2019-03-25,Hardback,38.76
Big Data MBA - Driving Business Strategies with Data Science,B Schmarzo,2017-10-03,Paperback,40.38
Analytics in a Big Data World - The Essential Guide to Data Science and its Applications,B Baesens,2014-07-01,Hardback,29.75
The Enterprise Big Data Lake,Alex Gorelik,2019-04-02,Paperback,30.29
