Flag,Emblem,State,Capital,Royal_capital,Population,Area_km2,Licence_plate,Area_code,Abbr,ISO,HDI,Region,Head_of_state,Head_of_government
//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Johor.svg/50px-Flag_of_Johor.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/6/60/Coat_of_arms_of_Johor.svg/50px-Coat_of_arms_of_Johor.svg.png,Johor,Johor Bahru,Muar,"3,794,000","19,166",J,"07, 06 (Muar & Tangkak)",JHR,MY-01,0.825,Peninsular Malaysia,Sultan,Menteri Besar
//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Flag_of_Kedah.svg/50px-Flag_of_Kedah.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/1/11/Coat_of_arms_of_Kedah.svg/50px-Coat_of_arms_of_Kedah.svg.png,Kedah,Alor Setar,Anak Bukit,"2,194,100","9,492",K,04,KDH,MY-02,0.808,Peninsular Malaysia,Sultan,Menteri Besar
//upload.wikimedia.org/wikipedia/commons/thumb/6/61/Flag_of_Kelantan.svg/50px-Flag_of_Kelantan.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Coat_of_arms_of_Kelantan.svg/50px-Coat_of_arms_of_Kelantan.svg.png,Kelantan,Kota Bharu,Kubang Kerian,"1,928,800","15,040",D,09,KTN,MY-03,0.779,Peninsular Malaysia,Sultan,Menteri Besar
//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_Malacca.svg/50px-Flag_of_Malacca.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/8/86/Coat_of_arms_of_Malacca_New.svg/50px-Coat_of_arms_of_Malacca_New.svg.png,Malacca,Malacca City,—,"937,500","1,712",M,06,MLK,MY-04,0.835,Peninsular Malaysia,Yang di-Pertua Negeri (Governor),Chief Minister
//upload.wikimedia.org/wikipedia/commons/thumb/d/db/Flag_of_Negeri_Sembilan.svg/50px-Flag_of_Negeri_Sembilan.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/3/34/Coat_of_arms_of_Negeri_Sembilan.svg/50px-Coat_of_arms_of_Negeri_Sembilan.svg.png,Negeri Sembilan,Seremban,Seri Menanti,"1,129,100","6,658",N,06,NSN,MY-05,0.829,Peninsular Malaysia,Yang di-Pertuan Besar(Grand Ruler),Menteri Besar
//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Pahang.svg/50px-Flag_of_Pahang.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Coat_of_arms_of_Pahang_%28Sultan%29.svg/50px-Coat_of_arms_of_Pahang_%28Sultan%29.svg.png,Pahang,Kuantan,Pekan,"1,684,600","35,965",C,"09, 03 (Genting Highlands), 05 (Cameron)",PHG,MY-06,0.804,Peninsular Malaysia,Sultan,Menteri Besar
//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Penang_%28Malaysia%29.svg/50px-Flag_of_Penang_%28Malaysia%29.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Coat_of_arms_of_Penang.svg/50px-Coat_of_arms_of_Penang.svg.png,Penang,George Town,—,"1,774,400","1,049",P,04,PNG,MY-07,0.845,Peninsular Malaysia,Yang di-Pertua Negeri (Governor),Chief Minister
//upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_Perak.svg/50px-Flag_of_Perak.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Coat_of_arms_of_Perak.svg/50px-Coat_of_arms_of_Perak.svg.png,Perak,Ipoh,Kuala Kangsar,"2,508,900","21,146",A,05,PRK,MY-08,0.816,Peninsular Malaysia,Sultan,Menteri Besar
//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Perlis.svg/50px-Flag_of_Perlis.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Coat_of_arms_of_Perlis.svg/50px-Coat_of_arms_of_Perlis.svg.png,Perlis,Kangar,Arau,"255,400",819,R,04,PLS,MY-09,0.805,Peninsular Malaysia,Raja,Menteri Besar
//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Flag_of_Sabah.svg/50px-Flag_of_Sabah.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Coat_of_arms_of_Sabah.svg/50px-Coat_of_arms_of_Sabah.svg.png,Sabah,Kota Kinabalu,—,"3,833,000","73,621",S,087–089,SBH,MY-12,0.710,East Malaysia,Yang di-Pertua Negeri (Governor),Chief Minister
